ham,I'm good. Have you registered to vote?,,,
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",,,
ham,Dear got bus directly to calicut,,,
ham,Mm umma ask vava also to come tell him can play later together,,,
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",,,
ham,"Sorry, I'll call later",,,
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",,,
ham,&lt;#&gt;  w jetton ave if you forgot,,,
ham,Ok i'm coming home now.,,,
ham,Can not use foreign stamps in this country.,,,
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",,,
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",,,
ham,I will come tomorrow di,,,
ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,,,
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,,,
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.,,,
ham,How are you enjoying this semester? Take care brother.,,,
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,,,
ham,"Get the door, I'm here",,,
ham,"Lets use it next week, princess :)",,,
ham,Or i go home first lar Ì_ wait 4 me lor.. I put down my stuff first..,,,
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,,,
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),,,
ham,Oi when you gonna ring,,,
spam,Missed call alert. These numbers called but left no message. 07008009200,,,
ham,I attended but nothing is there.,,,
ham,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.,,,
ham,No dear i was sleeping :-P,,,
ham,Er mw im filled tuth is aight,,,
ham,Will be office around 4 pm. Now i am going hospital.,,,
ham,Actually i'm waiting for 2 weeks when they start putting ad.,,,
ham,Anything lor if they all go then i go lor...,,,
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,,,
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",,,
ham,Yo you around? A friend of mine's lookin to pick up later tonight,,,
ham,Stupid auto correct on my phone,,,
ham,Double eviction this week - Spiral and Michael and good riddance to them!,,,
ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""," Gud night....""",,
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",,,
ham,Buy one egg for me da..please:),,,
ham,Have you started in skye,,,
ham,Have you bookedthe hut? And also your time off? How are you by the way?,,,
ham,And several to you sir.,,,
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,,,
ham,I'm at home. Please call,,,
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,,,
ham,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,,,
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",,,
ham,Life style garments account no please.,,,
ham,Lol wtf random. Btw is that your lunch break,,,
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx",,,
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",,,
ham,Detroit. The home of snow. Enjoy it.,,,
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,,,
ham,Okie...,,,
ham,"Aight, I'm chillin in a friend's room so text me when you're on the way",,,
ham,Is toshiba portege m100 gd?,,,
ham,Well welp is sort of a semiobscure internet thing,,,
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,,,
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send",,,
ham,Loosu go to hospital. De dont let it careless.,,,
ham,How much for an eighth?,,,
ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,,,
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",,,
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,,,
ham,"How about clothes, jewelry, and trips?",,,
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge,,,
ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,,,
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,,,
ham,I am late. I will be there at,,,
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,,,
ham,Are you plans with your family set in stone ?,,,
ham,Pls dont forget to study,,,
ham,You'll never believe this but i have actually got off at taunton. Wow,,,
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",,,
ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,,,
ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,,,
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,,,
ham,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,,,
ham,Hey so whats the plan this sat? ,,,
ham,Beauty sleep can help ur pimples too.,,,
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,,,
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,,,
ham,Where to get those?,,,
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",,,
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:),,,
ham,Haiyoh... Maybe your hamster was jealous of million,,,
ham,Can you please send me my aunty's number,,,
ham,I'm glad. You are following your dreams.,,,
ham,I've reached home finally...,,,
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",,,
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",,,
ham,U can call now...,,,
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",,,
ham,Yes. I come to nyc for audiitions and am trying to relocate.,,,
ham,I pocked you up there before,,,
ham,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,,,
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),,,
ham,Hey mr whats the name of that bill brison book the one about language and words ,,,
ham,"Okay, good, no problem, and thanx!",,,
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",,,
ham,Call me when u're done...,,,
ham,G.W.R,,,
ham,You best watch what you say cause I get drunk as a motherfucker,,,
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you,,,
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,,,
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",,,
ham,Are there TA jobs available? Let me know please cos i really need to start working,,,
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,,,
ham,Yup i'm free...,,,
ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",,,
ham,Yo come over carlos will be here soon,,,
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,,,
ham,I guess it is useless calling u 4 something important.,,,
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!,,,
ham,He dint tell anything. He is angry on me that why you told to abi.,,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,,,
ham,I keep ten rs in my shelf:) buy two egg.,,,
ham,"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",,,
ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,,,
ham,Captain is in our room:),,,
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",,,
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,,,
ham,S...i will take mokka players only:),,,
ham,Are you still playing with gautham?,,,
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,,,
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",,,
ham,Sorry . I will be able to get to you. See you in the morning.,,,
ham,Aight well keep me informed,,,
ham,I am not having her number sir,,,
ham,Am only searching for good dual sim mobile pa.,,,
ham,That seems unnecessarily hostile,,,
ham,Dude got a haircut. Now its breezy up there,,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",,,
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),,,
ham,i thought we were doing a king of the hill thing there.,,,
ham,Nope i'll come online now..,,,
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY,,,
ham,Y bishan lei... I tot Ì_ say lavender? ,,,
ham,Boo what time u get out? U were supposed to take me shopping today. :(,,,
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",,,
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",,,
ham,on a Tuesday night r u 4 real,,,
ham,Yes when is the appt again?,,,
ham,Just got outta class gonna go gym.,,,
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,,,
ham,ÌÏ all write or wat..,,,
ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!,,,
ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,,,
ham,Hi:)did you asked to waheeda fathima about leave?,,,
ham,Enjoy urself tmr...,,,
ham,You still around? I could use a half-8th,,,
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,,,
ham,ÌÏ bot notes oredi... Cos i juz rem i got...,,,
ham,Yes. Rent is very expensive so its the way we save.,,,
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
ham,Hows the pain dear?y r u smiling?,,,
ham,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",,,
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,,,
ham,"Sorry, I can't help you on this.",,,
ham,Great. So should i send you my account number.,,,
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",,,
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",,,
ham,ÌÏ only send me the contents page...,,,
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",,,
ham,"Don't Think About \What u Have Got\"" Think About \""How to Use It That You Have Got\"" gooD ni8""",,,
ham,"I can't right this second, gotta hit people up first",,,
ham,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",,,
ham,So what about you. What do you remember,,,
ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,,,
ham,Mm yes dear look how i am hugging you both. :-P,,,
ham,I like dis sweater fr mango but no more my size already so irritating.,,,
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,,,
ham,Anytime lor...,,,
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,,,
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,,,
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",,,
ham,Me fine..absolutly fine,,,
ham,K and you're sure I don't have to have consent forms to do it :V,,,
spam,Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,,,
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",,,
ham,How much is torch in 9ja.,,,
ham,"Doing nothing, then u not having dinner w us?",,,
ham,How are you. Just checking up on you,,,
ham,Done it but internet connection v slow and can‰Û÷t send it. Will try again later or first thing tomo.,,,
ham,Mathews or tait or edwards or anderson,,,
ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,,,
ham,No need lar i go engin? Cos my sis at arts today...,,,
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,,,
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,,,
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",,,
ham,S.i'm watching it in live..,,,
ham,"see you then, we're all christmassy here!",,,
ham,"K I'm ready,  &lt;#&gt; ?",,,
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,,,
ham,what are your new years plans?,,,
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,,,
ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,,,
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is",,,
ham,Dear :-/ why you mood off. I cant drive so i brother to drive,,,
ham,When did dad get back.,,,
ham,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",,,
ham,Yes just finished watching days of our lives. I love it.,,,
ham,Juz go google n search 4 qet...,,,
ham,Many times we lose our best ones bcoz we are ,,,
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",,,
ham,Just getting back home,,,
ham,"Sorry, I'll call later  &lt;#&gt; mins",,,
ham,Dun need to use dial up juz open da browser n surf...,,,
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,,,
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",,,
ham,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,,,
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",,,
ham,You also didnt get na hi hi hi hi hi,,,
ham,Ya but it cant display internal subs so i gotta extract them,,,
ham,If i said anything wrong sorry de:-),,,
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,,,
ham,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,,,
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up",,,
ham,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,,,
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",,,
ham,"When you get free, call me",,,
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already ‰Û_,,,
ham,Ok i msg u b4 i leave my house.,,,
ham,Still at west coast... Haiz... ÌÏ'll take forever to come back...,,,
ham,MMM ... Fuck .... Merry Christmas to me,,,
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,,,
ham,Update your face book status frequently :),,,
ham,Just now saw your message.it k da:),,,
ham,Was it something u ate?,,,
ham,So what did the bank say about the money?,,,
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,,,
ham,Hey they r not watching movie tonight so i'll prob b home early...,,,
ham,Yar lor... How u noe? U used dat route too?,,,
ham,2mro i am not coming to gym machan. Goodnight.,,,
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,,,
ham,Can u look 4 me in da lib i got stuff havent finish yet.,,,
ham,Sounds great! Im going to sleep now. Have a good night!,,,
spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,,,
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
ham,How come u got nothing to do?,,,
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,,,
ham,i want to grasp your pretty booty :),,,
ham,I've got it down to a tea. not sure which flavour,,,
ham,I'm going 2 orchard now laready me reaching soon. U reaching?,,,
ham,Dear i am not denying your words please,,,
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,,,
ham,COME BACK TO TAMPA FFFFUUUUUUU,,,
ham,"2 celebrate my båÕday, y else?",,,
ham,Merry christmas to u too annie!,,,
ham,Please tell me you have some of that special stock you were talking about,,,
ham,I sent them. Do you like?,,,
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
ham,"Awesome, be there in a minute",,,
ham,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",,,
ham,I've told you everything will stop. Just dont let her get dehydrated.,,,
ham,Or I guess  &lt;#&gt;  min,,,
ham,I'm home. Ard wat time will u reach?,,,
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
ham,"If you want to mapquest it or something look up \usf dogwood drive\"""," that's the tiny street where the parking lot is""",,
ham,Aight should I just plan to come up later tonight?,,,
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,,,
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123""",,,
ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,,,
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",,,
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",,,
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,,,
ham,Ranjith cal drpd Deeraj and deepak 5min hold,,,
ham,"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\""""",,,
ham,Hey u still at the gym?,,,
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
ham,Much better now thanks lol,,,
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",,,
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",,,
ham,Wa... U so efficient... Gee... Thanx...,,,
spam,3. You have received your mobile content. Enjoy,,,
ham,S but not able to sleep.,,,
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,,,
ham,We will meet soon princess! Ttyl!,,,
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.,,,
ham,Oh :-)only 4 outside players allowed to play know,,,
ham,I anything lor.,,,
ham,Erutupalam thandiyachu,,,
ham,"Y cant u try new invention to fly..i'm not joking.,",,,
ham,No..its ful of song lyrics..,,,
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks",,,
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,,,
ham,Shopping? Eh ger i toking abt syd leh...Haha,,,
ham,What not under standing.,,,
ham,have * good weekend.,,,
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,,,
ham,Call me when you get the chance plz &lt;3,,,
ham,The new deus ex game comin early next yr,,,
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,,,
ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",,,
ham,Probably a couple hours tops,,,
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",,,
ham,Man this bus is so so so slow. I think you're gonna get there before me,,,
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,,
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",,,
ham,Ok,,,
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
ham,Nvm take ur time.,,,
ham,So wat's da decision?,,,
ham,Wot is u up 2 then bitch?,,,
ham,Stupid.its not possible,,,
ham,She told to hr that he want posting in chennai:)because i'm working here:),,,
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,,,
ham,When are you guys leaving?,,,
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. ÌÏ got a lot of work ar?,,,
ham,Not able to do anything.,,,
ham,ÌÏ takin linear algebra today?,,,
ham,This weekend is fine (an excuse not to do too much decorating),,,
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",,,
ham,Now project pa. After that only i can come.,,,
spam,Money i have won wining number 946 wot do i do next,,,
ham,"Sure, whenever you show the fuck up &gt;:(",,,
ham,That was random saw my old roomate on campus. He graduated,,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",,,
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",,,
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,,,
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",,,
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,,,
ham,Hi good mornin.. Thanku wish u d same..,,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
ham,Actually I decided I was too hungry so I haven't left yet :V,,,
ham,I've sent Ì_ my part..,,,
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,,,
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )",,,
ham,Understand. his loss is my gain :) so do you work? School?,,,
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,,,
ham,"Hiya, probably coming home * weekend after next",,,
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,,,
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,,,
